Q2
P: 1
T: 0.019597 s
T: 0.008203 s
T: 0.012962 s
P: 29
T: 0.003764 s
T: 0.017259 s
T: 0.010187 s
T: 0.012357 s
T: 0.020155 s
T: 0.019052 s
T: 0.010198 s
T: 0.007758 s
T: 0.019339 s
T: 0.010053 s
T: 0.005126 s
T: 0.005002 s
T: 0.007888 s
T: 0.007902 s
T: 0.017937 s
T: 0.015167 s
T: 0.007715 s
T: 0.013722 s
T: 0.014585 s
T: 0.020562 s
P: 30
T: 0.022229 s
T: 0.019392 s
T: 0.005805 s
T: 0.007109 s
T: 0.013188 s
T: 0.020936 s
T: 0.012021 s
T: 0.012641 s
T: 0.017771 s
T: 0.007457 s
T: 0.014745 s
T: 0.021429 s
T: 0.017113 s
T: 0.019089 s
T: 0.009648 s
T: 0.005591 s
T: 0.009395 s
T: 0.014840 s
T: 0.008309 s
T: 0.014372 s
